iter	Passed	Remaining
399	36425	54638
400	36512	54541
401	36600	54445
402	36682	54341
403	36765	54237
404	36846	54133
405	36921	54018
406	37004	53915
407	37087	53813
408	37168	53707
409	37248	53601
410	37325	53490
411	37406	53386
412	37494	53291
413	37580	53193
414	37672	53105
415	37798	53062
416	37890	52973
417	37979	52880
418	38062	52779
419	38152	52686
420	38237	52587
421	38312	52474
422	38389	52365
423	38475	52268
424	38554	52161
425	38632	52053
426	38716	51954
427	38798	51851
428	38878	51747
429	38970	51659
430	39061	51568
431	39147	51471
432	39223	51362
433	39310	51266
434	39395	51168
435	39481	51071
436	39554	50959
437	39644	50867
438	39731	50773
439	39821	50682
440	39914	50594
441	39999	50497
442	40078	50392
443	40161	50291
444	40241	50189
445	40331	50097
446	40415	49999
447	40494	49895
448	40578	49796
449	40662	49698
450	40739	49591
451	40826	49497
452	40916	49406
453	41007	49317
454	41089	49217
455	41169	49114
456	41253	49016
457	41349	48933
458	41447	48851
459	41526	48748
460	41605	48645
461	41692	48550
462	41775	48452
463	41858	48353
464	41939	48253
465	42024	48156
466	42101	48051
467	42188	47958
468	42267	47854
469	42344	47750
470	42427	47652
471	42504	47547
472	42591	47454
473	42673	47354
474	42751	47251
475	42832	47152
476	42914	47053
477	42995	46952
478	43080	46858
479	43165	46762
480	43251	46668
481	43342	46579
482	43424	46481
483	43514	46390
484	43597	46294
485	43683	46199
486	43764	46100
487	43853	46010
488	43939	45916
489	44028	45825
490	44111	45728
491	44186	45623
492	44267	45524
493	44351	45428
494	44433	45331
495	44510	45228
496	44592	45130
497	44670	45029
498	44748	44928
499	44839	44839
500	44930	44751
501	45018	44659
502	45099	44561
503	45182	44465
504	45266	44370
505	45346	44271
506	45426	44172
507	45510	44076
508	45597	43985
509	45677	43886
510	45754	43784
511	45839	43691
512	45916	43589
513	45995	43489
514	46071	43387
515	46159	43296
516	46284	43240
517	46365	43143
518	46442	43041
519	46532	42953
520	46615	42857
521	46701	42764
522	46782	42668
523	46865	42572
524	46949	42478
525	47023	42374
526	47108	42281
527	47190	42185
528	47280	42097
529	47363	42002
530	47450	41910
531	47541	41822
532	47630	41732
533	47701	41627
534	47787	41534
535	47870	41440
536	47957	41349
537	48037	41251
538	48120	41156
539	48204	41063
540	48291	40971
541	48363	40868
542	48440	40768
543	48528	40677
544	48613	40585
545	48697	40491
546	48778	40396
547	48862	40302
548	48945	40208
549	49026	40112
550	49114	40022
551	49200	39930
552	49292	39843
553	49363	39740
554	49450	39649
555	49532	39554
556	49618	39463
557	49693	39362
558	49769	39263
559	49857	39173
560	49946	39085
561	50030	38991
562	50108	38893
563	50179	38791
564	50267	38701
565	50342	38601
566	50423	38506
567	50501	38409
568	50586	38317
569	50666	38222
570	50747	38126
571	50841	38042
572	50930	37953
573	51013	37860
574	51106	37774
575	51181	37675
576	51264	37581
577	51348	37490
578	51435	37399
579	51515	37304
580	51602	37214
581	51687	37122
582	51765	37026
583	51849	36934
584	51935	36843
585	52021	36752
586	52102	36658
587	52182	36563
588	52260	36466
589	52333	36367
590	52405	36267
591	52483	36170
592	52561	36075
593	52638	35978
594	52715	35882
595	52788	35782
596	52865	35686
597	52948	35594
598	53057	35518
599	53138	35425
600	53220	35332
601	53296	35236
602	53384	35146
603	53463	35052
604	53545	34959
605	53626	34866
606	53708	34773
607	53791	34681
608	53872	34588
609	53949	34492
610	54036	34403
611	54114	34308
612	54202	34219
613	54283	34125
614	54369	34036
615	54450	33943
616	54542	33857
617	54626	33766
618	54707	33672
619	54790	33581
620	54869	33486
621	54954	33396
622	55041	33307
623	55122	33214
624	55204	33122
625	55285	33029
626	55371	32940
627	55448	32845
628	55532	32754
629	55620	32665
630	55702	32574
631	55776	32477
632	55859	32386
633	55933	32289
634	56005	32192
635	56083	32098
636	56164	32005
637	56252	31917
638	56330	31823
639	56412	31732
640	56503	31645
641	56583	31553
642	56669	31463
643	56754	31373
644	56828	31277
645	56907	31184
646	56991	31094
647	57078	31005
648	57159	30913
649	57239	30821
650	57312	30725
651	57397	30635
652	57480	30544
653	57561	30452
654	57645	30362
655	57728	30272
656	57809	30180
657	57887	30087
658	57966	29995
659	58046	29902
660	58128	29811
661	58210	29720
662	58290	29628
663	58370	29537
664	58452	29446
665	58534	29354
666	58619	29265
667	58707	29177
668	58786	29085
669	58865	28993
670	58943	28900
671	59027	28811
672	59107	28719
673	59186	28627
674	59269	28537
675	59348	28444
676	59428	28353
677	59515	28265
678	59598	28175
679	59686	28087
680	59775	28000
681	59866	27914
682	59942	27820
683	60019	27728
684	60101	27637
685	60185	27548
686	60266	27457
687	60349	27367
688	60436	27279
689	60517	27188
690	60605	27101
691	60691	27013
692	60776	26924
693	60859	26834
694	60943	26745
695	61016	26650
696	61097	26560
697	61170	26466
698	61250	26375
699	61338	26287
700	61422	26198
701	61494	26104
702	61584	26018
703	61668	25928
704	61752	25839
705	61837	25750
706	61915	25659
707	61997	25569
708	62082	25480
709	62163	25390
710	62240	25298
711	62334	25213
712	62417	25124
713	62502	25035
714	62579	24944
715	62661	24854
716	62748	24766
717	62839	24680
718	62925	24592
719	63010	24504
720	63092	24414
721	63172	24323
722	63257	24235
723	63334	24144
724	63424	24057
725	63501	23966
726	63585	23877
727	63667	23787
728	63747	23697
729	63828	23607
730	63907	23517
731	63992	23428
732	64076	23340
733	64164	23253
734	64240	23161
735	64325	23073
736	64406	22983
737	64484	22892
738	64571	22805
739	64648	22714
740	64740	22628
741	64822	22539
742	64900	22448
743	64987	22361
744	65070	22272
745	65152	22183
746	65241	22096
747	65317	22005
748	65398	21915
749	65481	21827
750	65554	21735
751	65640	21647
752	65725	21559
753	65811	21471
754	65900	21385
755	65981	21295
756	66073	21209
757	66163	21123
758	66250	21035
759	66339	20949
760	66425	20861
761	66509	20773
762	66592	20684
763	66686	20599
764	66769	20510
765	66844	20420
766	66926	20331
767	67011	20243
768	67093	20154
769	67175	20065
770	67264	19978
771	67350	19891
772	67425	19800
773	67509	19712
774	67589	19622
775	67673	19534
776	67750	19444
777	67835	19356
778	67912	19266
779	67995	19178
780	68080	19090
781	68162	19001
782	68241	18912
783	68331	18826
784	68413	18737
785	68507	18652
786	68589	18563
787	68672	18475
788	68759	18388
789	68845	18300
790	68923	18211
791	69003	18122
792	69083	18033
793	69159	17943
794	69239	17854
795	69318	17765
796	69401	17676
797	69477	17586
798	69561	17499
799	69646	17411
800	69725	17322
801	69807	17234
802	69886	17145
803	69968	17056
804	70051	16968
805	70138	16882
806	70220	16793
807	70295	16703
808	70379	16616
809	70462	16528
810	70545	16440
811	70627	16352
812	70703	16262
813	70794	16176
814	70874	16088
815	70960	16000
816	71084	15922
817	71164	15833
818	71244	15745
819	71325	15656
820	71407	15568
821	71489	15480
822	71569	15392
823	71644	15302
824	71726	15214
825	71802	15125
826	71885	15037
827	71966	14949
828	72052	14862
829	72134	14774
830	72211	14685
831	72306	14600
832	72393	14513
833	72476	14425
834	72559	14338
835	72636	14249
836	72714	14160
837	72803	14074
838	72889	13987
839	72971	13899
840	73049	13810
841	73129	13722
842	73208	13634
843	73287	13545
844	73372	13458
845	73448	13369
846	73526	13281
847	73608	13193
848	73687	13105
849	73771	13018
850	73857	12931
851	73937	12843
852	74026	12757
853	74109	12669
854	74191	12582
855	74271	12494
856	74357	12407
857	74431	12318
858	74508	12230
859	74590	12142
860	74680	12056
861	74762	11968
862	74856	11883
863	74934	11795
864	75014	11707
865	75094	11619
866	75180	11532
867	75262	11445
868	75347	11358
869	75427	11270
870	75518	11184
871	75598	11097
872	75677	11009
873	75760	10921
874	75845	10835
875	75923	10747
876	76002	10659
877	76087	10572
878	76168	10485
879	76246	10397
880	76323	10309
881	76407	10222
882	76496	10136
883	76578	10048
884	76655	9960
